exec_time, iterations, nThreads
0.00,1000,1
0.00,1000,1
0.00,1000,1
0.00,1000,1
0.00,1000,1
0.00,1000,2
0.00,1000,2
0.00,1000,2
0.00,1000,2
0.00,1000,2
0.00,1000,4
0.00,1000,4
0.00,1000,4
0.00,1000,4
0.00,1000,4
0.00,1000,8
0.00,1000,8
0.00,1000,8
0.00,1000,8
0.00,1000,8
0.00,1000,16
0.00,1000,16
0.00,1000,16
0.00,1000,16
0.00,1000,16
0.00,10000,1
0.00,10000,1
0.00,10000,1
0.00,10000,1
0.00,10000,1
0.00,10000,2
0.00,10000,2
0.00,10000,2
0.00,10000,2
0.00,10000,2
0.00,10000,4
0.00,10000,4
0.00,10000,4
0.00,10000,4
0.00,10000,4
0.00,10000,8
0.00,10000,8
0.00,10000,8
0.00,10000,8
0.00,10000,8
0.00,10000,16
0.00,10000,16
0.00,10000,16
0.00,10000,16
0.00,10000,16
0.00,100000,1
0.00,100000,1
0.00,100000,1
0.00,100000,1
0.00,100000,1
0.00,100000,2
0.00,100000,2
0.00,100000,2
0.00,100000,2
0.00,100000,2
0.00,100000,4
0.00,100000,4
0.00,100000,4
0.00,100000,4
0.00,100000,4
0.00,100000,8
0.00,100000,8
0.00,100000,8
0.00,100000,8
0.00,100000,8
0.00,100000,16
0.00,100000,16
0.00,100000,16
0.00,100000,16
0.00,100000,16
0.04,1000000,1
0.04,1000000,1
0.04,1000000,1
0.04,1000000,1
0.04,1000000,1
0.04,1000000,2
0.03,1000000,2
0.04,1000000,2
0.03,1000000,2
0.04,1000000,2
0.04,1000000,4
0.04,1000000,4
0.04,1000000,4
0.04,1000000,4
0.04,1000000,4
0.04,1000000,8
0.04,1000000,8
0.04,1000000,8
0.04,1000000,8
0.04,1000000,8
0.05,1000000,16
0.04,1000000,16
0.04,1000000,16
0.04,1000000,16
0.04,1000000,16
0.46,10000000,1
0.42,10000000,1
0.43,10000000,1
0.41,10000000,1
0.42,10000000,1
0.41,10000000,2
0.42,10000000,2
0.42,10000000,2
0.41,10000000,2
0.41,10000000,2
0.43,10000000,4
0.43,10000000,4
0.43,10000000,4
0.42,10000000,4
0.43,10000000,4
0.43,10000000,8
0.44,10000000,8
0.43,10000000,8
0.43,10000000,8
0.43,10000000,8
0.42,10000000,16
0.44,10000000,16
0.43,10000000,16
0.43,10000000,16
0.44,10000000,16
4.28,100000000,1
4.20,100000000,1
4.11,100000000,1
4.22,100000000,1
4.15,100000000,1
4.26,100000000,2
4.15,100000000,2
4.30,100000000,2
4.15,100000000,2
4.20,100000000,2
4.40,100000000,4
4.39,100000000,4
4.82,100000000,4
4.74,100000000,4
4.76,100000000,4
4.75,100000000,8
4.74,100000000,8
4.79,100000000,8
4.76,100000000,8
4.77,100000000,8
4.77,100000000,16
4.77,100000000,16
4.77,100000000,16
4.84,100000000,16
4.74,100000000,16
